Id;Label;Genres;Netflix_original;Nombre_occurrence
60021103;Akira;Anime SF et fantastique,Anime d'action,Films SF,Japonais,Films d'animation;False;1
60028308;Robin des Bois, prince des voleurs;Films romantiques,Films d'époque,Films d'action;False;1
70020509;Heat;Films policiers,Policiers d'action,Films d'action;False;1
70035035;Mes voisins les Yamada;Japonais,Films d'animation,Films d'animation japonaise;False;1
70049481;Le trésor d'Arne;Suédois,Drames,Films romantiques,Films inspirés de livres,Films d'époque;False;1
70056430;Shooter, tireur d'élite;Intrigues,Films inspirés de livres,Films d'action;False;1
70101535;Les Proscrits;Suédois,Films inspirés d'une pièce de théâtre,Drames,Films romantiques,Films d'époque;False;1
70125931;Karaté Kid;Films pour la famille,Films jeunesse et famille,Drames pour la famille,Films sur les arts martiaux;False;1
70136120;The Office (US);Sitcoms,Séries comiques,Séries US;False;11
70136140;Star Trek;Séries pour la famille à voir ensemble,Séries d'action et d'aventure,Séries US;False;1
70140438;Skins;Séries dramatiques,Britannique,Séries pour ados;False;2
70142382;Laguna Beach: The Real Orange County;Séries pour ados,Téléréalité,Séries US;False;2
70142384;The Hills;Séries pour ados,Téléréalité,Séries US,Style de vie;False;3
70142405;Avatar : Le dernier maître de l’air;Pour enfants,Séries pour la famille à voir ensemble,Dessins animés,Séries fantastiques;False;6
70142413;Chappelle's Show;Séries comiques,Séries US;False;1
70143440;Trailer Park Boys: Xmas Special;Canadien,Films comiques,Séries comiques;False;1
70143830;The Big Bang Theory;Sitcoms,Séries comiques,Séries US;False;10
70143836;Breaking Bad;Séries US,Thrillers TV;False;7
70153373;Seinfeld;Sitcoms,Séries comiques,Séries US;False;4
70153388;L'Incroyable Famille Kardashian;Téléréalité,Séries US;False;4
70153404;Friends;Sitcoms,Séries comiques,Séries US;False;9
70155579;Johnny Test;Pour enfants,Dessins animés;False;3
70155589;Community;Sitcoms,Séries comiques,Séries US;False;2
70155618;Gilmore Girls;Séries pour ados,Séries comiques,Séries comiques romantiques,Séries US;False;9
70158329;Star Trek : la nouvelle génération;Séries SF,Séries d'action et d'aventure,Séries US;False;6
70158331;Star Trek: Voyager;Séries pour la famille à voir ensemble,Séries SF,Séries d'action et d'aventure,Séries US;False;2
70171942;Archer;Sitcoms,Séries comiques,Séries d'action et d'aventure,Séries US;False;3
70171946;Heartland;Séries dramatiques,Séries pour la famille à voir ensemble,Canadien,Séries inspirées de livres;False;2
70172485;Victorious;Pour enfants,Sitcoms,Séries comiques;False;1
70177033;Winx Club;Pour enfants,Italien,Dessins animés;False;4
70177034;Yu-Gi-Oh!;Pour enfants,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;False;1
70177040;Dare Dare Motus: Collection Classique;Pour enfants,Britannique,Séries comiques,Dessins animés;False;2
70177057;The Walking Dead;Séries d'action et d'aventure,Séries US,Séries d'épouvante,Séries inspirées de B.D.;False;6
70180051;H2O;Pour enfants,Séries pour la famille à voir ensemble,Australien;False;4
70180088;Garfield & Cie;Pour enfants,Séries comiques,Dessins animés,Séries inspirées de B.D.;False;4
70195800;Suits : avocats sur mesure;Séries judiciaires,Séries comiques,Séries US;False;9
70202899;Trigun;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;False;1
70204964;Claymore;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Anime d'horreur;False;4
70204980;Fullmetal Alchemist;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;False;7
