ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
1179053;Films d'action et d'aventure;Sept ans au Tibet;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABQT1B5ejTvSWDIBlaTze6aHX3rsHsEoWcE9ucf9_gUXUVV1WQDmuzrRJpPz5O6dZXEmPAm6mZJ13_YWf6XWL6OKi3Rxhj6rkG_g.webp?r=87f;1997;2 h 16 min;;13+;Pendant la Seconde Guerre mondiale, l'évasion d'un alpiniste autrichien d'un camp de prisonniers le conduit jusqu'au Tibet où il se lie d'amitié avec le Dalaï-Lama.;;0;Jean-Jacques Annaud;Brad Pitt,David Thewlis,BD Wong,Mako,Danny Denzongpa,Victor Wong,Ingeborga Dapkunaite,Jamyang Jamtsho Wangchuk,Lhakpa Tsamchoe,Jetsun Pema;Becky Johnston;Drames,Films inspirés de faits réels;;18907685,60011152,70305907,80017529,60024942,60028308,994992,70104313,70114497,81064867,80207506,81242205,81564732,60026139,81580045,81115160,70243460,80013871,268371,70201437,60000417,81577050,693960,1152837,70130445,80190534;False;1
18962448;Drames;Aussi profond que l'océan;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWrxUAHzcVfmdguEUAYloHPSL8UWD9xN5kUxHV6XtqnBSW9-mNqmaL0p3PYAX6K3xTYRxqE2wk8DnDBDAamTkR45YHICAaVLatw.webp?r=1e4;1999;1 h 48 min;;13+;Une mère vit un cauchemar quand son fils âgé de 3 ans disparaît. Il revient de nulle part neuf ans plus tard, dans la ville où la famille a déménagé.;;0;Ulu Grosbard;Michelle Pfeiffer,Treat Williams,Whoopi Goldberg,Jonathan Jackson,Cory Buck,Ryan Merriman,Alexa PenaVega,Michael McGrady,Brenda Strong,Michael McElroy;Stephen Schiff;Drames,Films inspirés de livres;Sombre,Émotion;81128745,80992607,80017529,80081151,70114497,70119811,80207506,81580045,70285581,81476183,70301350,80210920,80073823,18171073,80241318,80223927,80179190,268371,81577050,60022967,693960,80128245,81030213,81590491,81028975,81408600;False;1
20559714;Mondes épiques|Blockbusters;La Momie;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABc8hWT677gvOjcVpTA36hGw5DDIreTYkK1q6guF-FKSKtzMq0DVwZmq8yECh2dEVFHKPmSMHU11Oj2dlIYwfFd-GTlB-q07AO_E.webp?r=bcf;1999;2 h 4 min;;13+;Quand des archéologues américains réveillent accidentellement une momie maudite, un aventurier et une égyptologue maladroite doivent contenir l'esprit maléfique.;;0;Stephen Sommers;Brendan Fraser,Rachel Weisz,John Hannah,Oded Fehr,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Stephen Dunham,Bernard Fox,Omid Djalili;Stephen Sommers,Lloyd Fonvielle,Kevin Jarre;Films d'action;Montée d'adrénaline;81044417,60001650,70127226,80017529,70178621,81152992,5670479,81161789,70305899,70056430,70108779,70056440,60036256,81004278,80237937,70217910,80093133,60004473,80098202,80029196,70111323,80161352,80091595,60002360;False;2
28631029;Films jeunesse et famille;Stuart Little;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABSWNbXqdtwJvQclnhl8VLXG_ze2j_7fkzO7WP1jEKepFpvn01jRVGi86QrXqQvba97TBoMYeFgPFvIDhP82MKQlNA16UqUV_iOA.webp?r=b8b;1999;1 h 24 min;;TOUS PUBLICS;Lorsque ses parents adoptent une souris, George découvre qu'un frère peut prendre toutes les formes... et tailles. Mais le chat Snowbell n'est pas de cet avis.;;0;Rob Minkoff;Michael J. Fox,Jonathan Lipnicki,Geena Davis,Hugh Laurie,Nathan Lane;M. Night Shyamalan,Greg Brooker;Films pour la famille,Films jeunesse et famille,Comédies,Films inspirés de livres;;80233925,70113007,80002924,70141972,60027689,60021788,81026605,600346,70041962,81475311,70002007,81011712,986399,70125931,60034572,81616116,70243449,60020686,60031264,70057253,60034386,70033005,81023618,70220028;False;1
445386;Pépites pour vous|Drames;Dirty Dancing;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcfYpvu6z4FUT-lhaNFy24VgEHzciRIUB0h65Rhs5czaOzPNQV_btV3C1zIeAWyRTweRQEn4og-K9aiajnT4FPpSCegh4NxIk6U.webp?r=a2d;1987;1 h 40 min;;13+;Alors qu'elle passe l'été en montagne avec sa famille, une timide adolescente tombe amoureuse du professeur de danse du centre de vacances, un homme libre et audacieux.;;0;Emile Ardolino;Jennifer Grey,Patrick Swayze,Jerry Orbach,Cynthia Rhodes,Jack Weston,Jane Brucker,Kelly Bishop,Lonny Price,Max Cantor,Charles 'Honi' Coles;Eleanor Bergstein;Drames,Films romantiques,Drames primés;Sentimental,Romantique;80131194,70167075,81388078,70178624,80169498,70295080,80013872,70144327,384406,70136041,80143556,60034573,81623358,70103759,81580045,81043665,80075010,70045854,70045283,80179190,80221908,70167068,81140933,693960,80057784,81041317;False;2
505789;Films d'époque;Lancelot, le premier chevalier;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTz-5RM3RGz0Dm7v1kAZo5Bi-gFSC6uBbRY21E6kkY3PNk0Jt3MrppaYqgTLVnzblKFmXfW3wT0ezSQpaRkR0_Opg8MNNt4phtQ.webp?r=977;1995;2 h 13 min;;13+;S'étant vu offrir une place à la Table ronde, Lancelot doit concilier sa loyauté au trône et son amour pour la reine Guenièvre, épouse du roi Arthur.;;0;Jerry Zucker;Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham,Christopher Villiers,Valentine Pelka,Colin McCormack,Ralph Ineson,John Gielgud;Lorne Cameron,David Hoselton,William Nicholson;Drames,Films romantiques,Films d'époque;Romantique;60011152,80017529,60020626,445386,60028308,873159,81135138,81663277,81161372,70119811,80207506,70058017,80176893,81580045,81557402,81397077,80182016,80190859,80013871,81582615,81577050,693960,70111323,1152837,60001044,81104904;False;1
60000417;Pépites pour vous|Drames|Blockbusters;La Ligne verte;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABd3dClWdcGtbkTj8pNyNcRN9Xt5hcJMA-OmmDgrBXIW40h2d42DtIWccndtyRHts9p8TVBxXOhnY8yE89Pd3Jf1TSha2wpgKPUg.webp?r=529;1999;3 h 8 min;;16+;Lorsqu'un gardien de prison découvre qu'un condamné à mort possède de mystérieux pouvoirs, il essaie désespérément d'empêcher son exécution.;violence;0;Frank Darabont;Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Gary Sinise;Frank Darabont;Drames,Films inspirés de livres,Drames primés;Émotion;60011152,80017529,60024942,445386,60024922,80081151,994992,70230640,70104313,81135138,70114497,70119811,80207506,81660544,70044605,70243460,70135893,80013871,70243453,268371,81092221,80058397,81239779,60029681,80190534,70305903;False;3
60001650;Mondes épiques|Blockbusters;Men in Black;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcamGmVUuGn_r8aKlmElCZ98Dhc5gBu3WCboancj0Kz8d6cNKpAW0RqBDEBZQA0husRV_O6T0ASAFx72J7iBKYgggb3YDTaCh3M.webp?r=6a6;1997;1 h 37 min;;13+;Un bouillant policier new-yorkais forme avec un agent du gouvernement pragmatique une équipe top secrète dont la mission consiste à surveiller les aliens sur Terre.;;0;Barry Sonnenfeld;Will Smith,Tommy Lee Jones,Linda Fiorentino,Vincent D'Onofrio,Rip Torn,Tony Shalhoub,Siobhan Fallon Hogan,Mike Nussbaum,Jon Gries,Sergio Calderón;Ed Solomon;Films SF,Films comiques,Films d'action;;81152992,70125231,81161789,81161626,60036230,70056430,60024059,60010110,70208247,81165134,81309354,60034587,70123711,20559714,215318,215309,80037476,70047101,70097577,80094318,80029196,60004481,70060015;False;2
60002360;Films d'action et d'aventure|Pépites pour vous|Blockbusters;Jurassic Park;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABS1wnhLvke0z71d7WYxKx-Za4siRfJWhSPCPFcrULXSwmbQswFO6Z7p3V-xyQkJGxGFl8-Xv3vmSjmkR59sfaL9_eU2mOEC1B3M.webp?r=612;1993;2 h 6 min;;13+;Science, sabotage et ADN préhistorique sont au cœur de ce film où les dinosaures clonés d'un parc top secret s'échappent de leur enclos et poursuivent les visiteurs.;;0;Steven Spielberg;Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck,Martin Ferrero,BD Wong,Joseph Mazzello,Ariana Richards,Samuel L. Jackson,Wayne Knight;Michael Crichton,David Koepp;Films SF,Films inspirés de livres,Films d'action;;81044417,60001650,70127226,70178621,81161789,22013422,80993105,70108779,81073022,60010110,81165134,60036256,70099790,20559714,81004278,80237937,80037476,80170280,80093133,80014749,60020549,80091595,80216309;False;3
60003388;Films comiques;Snatch;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABQscbA1aeEabulTNU-rnJKnGYJCeZpKKWATa6Q8VCniN-da98oAzTkrahl8U847LEBHvGNy_-jUdqp_cDTB2VqxS9ewycHjuyn4.webp?r=349;2000;1 h 42 min;;16+;Deux promoteurs de boxe se retrouvent embarqués dans le vol d'un diamant quand un malfrat accro au jeu et en possession d'une pierre de 84 carats arrive à Londres.;violence;0;Guy Ritchie;Jason Statham,Benicio Del Toro,Dennis Farina,Vinnie Jones,Brad Pitt,Stephen Graham,Rade Serbedzija,Alan Ford,Mike Reid,Robbie Gee,Lennie James,Ewen Bremner,Jason Flemyng;Guy Ritchie;Britannique,Comédies;;80235928,60001650,70143830,60021783,70058024,81161626,81064867,70208247,81458416,81165134,70123711,80015343,80121192,80200487,70153404,80014749,70058008,80200267,70011211,70270408,70136120,70167068,80079256,80142090,80075560,81290742;False;1
60004481;Films d'action et d'aventure|Blockbusters;Spider-Man;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcn0HsWOFtXyP2gPr5ffQ9ZRXUL49J_2bxkHI39j-_eJ9rB6ir8zk0oFUvRs4o3zszggFHWFEBVDpl9ZAYxO_j6DSJQzvKkj-vA.webp?r=426;2002;2 h 1 min;;13+;Après s'être fait piquer par une araignée génétiquement modifiée, le timide lycéen Peter Parker développe des arachno-pouvoirs et rencontre un nouvel ennemi dangereux.;;0;Sam Raimi;Tobey Maguire,Willem Dafoe,Kirsten Dunst,James Franco,Cliff Robertson,Rosemary Harris,J.K. Simmons,Joe Manganiello,Gerry Becker,Bill Nunn;David Koepp;Films SF,Films d'action;;81044417,60001650,81444051,70178621,81161789,80117445,70056430,81073022,70208247,70021642,70123711,81004278,81030627,80037476,80237937,80241318,80014749,70097577,80013871,80098202,80029196,80216309,60002360;False;2
60010110;Pépites pour vous|Mondes épiques;Retour vers le futur;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUt4Xdm1C0NTGnTU_wtmQnEIQpooaThcO6fEc0Oxiz4wbNXtnqWNv9k68WC9nlSNFBuV2y9SNFhJjuMMA6-zHn0aAHfSj9mOcFw.webp?r=46c;1985;1 h 56 min;;13+;Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.;;0;Robert Zemeckis;Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Thomas F. Wilson,Claudia Wells,Marc McClure,Wendie Jo Sperber;Robert Zemeckis,Bob Gale;Films pour la famille,Films SF,Aventures en famille,Comédies;Bonne humeur;60001650,70143830,60020828,81161789,60021783,70125231,986399,81165134,81309354,60034587,70123711,81057361,215318,215309,80200487,70153404,81030627,70217910,80037476,80014749,60003016,80094318,80029196,60002360;False;2
