ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
81380540;Documentaires;Celle que vous croyez connaître : Anna Nicole Smith;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcO-vT5L3HR8DU6hQSpmFemeuFeHuA-kPUGQl1BJveBBGjhRD-R0nuAik3H731kinHx0tymGv4ypJFwI7FyQP7Jft-sgSs_LxzadC8iRK7mq2c7IyGk6e3wHZOqFpjCFyd0M.jpg?r=60c;2023;1 h 56 min;;16+;Ce documentaire dévoile la vie d'Anna Nicole Smith, du sommet de sa carrière de mannequin à sa tragique disparition, à travers les yeux de ses proches.;références à des violences faites aux enfants, références à des violences sexuelles;0;Ursula Macfarlane;Anna Nicole Smith;;Films documentaires,Documentaires biographiques;Intimiste;81512109,81590934,81463700,81519789,81130130,81288561,81500204,81317673,81300060,81130576,81212487,81586873,81231181,81641996,70267802,81026055,81512108,81153133,80217818,81230204,81610240,81031929,81177110,81456532,81580822,81216491;True;1
81382130;Films et séries scandinaves;Graine de star;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUkWvjMCebmcggOHm6ZAP-nFDT42NP6rECgBjRRqgSnj7kL_HX7zL2UszMcNVmRlDlIyD59Iqu11MNZTy9o0TByR-uq4KkXn2ks.webp?r=a00;2006;1 h 22 min;;TOUS PUBLICS;Une adolescente qui rêve de devenir une star de la pop découvre dans un camp d'été les choses de la vie, de l'amour et de l'amitié au fil de ses mensonges.;;0;Manne Lindwall;Anna Ryrberg,Freddy Åsblom,Christopher Mhina,Lina Lundberg,Viktoria Lundell-Salmson,Adrian Bursell,Hedvig Heijne,Karin Bogaeus,Malin Zackrisson,Cilla Thorell;Måns Gahrton,Johan Unenge;Musique,Films pour la famille,Films jeunesse et famille,Suédois,Drames pour la famille;;80174285,80994878,80222822,80190146,80230534,81289456,80220644,80234451,81175170,80994277,81504820,81032078,80245601,81275940,81194110,81005407,81002412,81228331,81568357,81056195,81283585,80051137,80988262,81140933,81209537,80222177;False;1
81382254;Comédies;Tu Jhoothi Main Makkaar;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABU3gFc9648Qw2L0tGcjH5ra_alFjzK1W5S8vrJnSoma-uRcvdN7DHqe-2-kE393fB3ua8xmLDA5wiFoTNni0rmItHE6qfc_L0KI.webp?r=a35;2023;2 h 39 min;;10+;Pour arrondir ses fins de mois, Mickey aide des couples à se séparer, mais les choses se compliquent lorsqu'il tombe amoureux de Tinni, une carriériste indépendante.;;0;Luv Ranjan;Ranbir Kapoor,Shraddha Kapoor,Dimple Kapadia,Boney Kapoor,Anubhav Singh Bassi,Jatinder Kaur,Hasleen Kaur,Inayat Verma,Monica Choudhary,Amber Rana;Luv Ranjan,Rahul Mody;Indien,Films en hindi,Films de Bollywood,Comédies romantiques,Comédies;Émotion,Romantique;80206847,81511260,81595543,80078739,81324724,70219526,80232398,81476183,60036752,70254350,80073188,81397077,70153404,81669775,81267360,80091866,81107545,81537953,80179190,81304948,81243747,80197526,81577050,81113918,70276515,80212986;False;1
81394937;Séries policières;La Disparue de Lørenskog;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABXfGD2vPZACJmpijXFSOxHvcsJ5E8FRnDLurMuijYJulKHcgcLvHYnSHkGqOdMSKnmbSRS_NmnXud2hA6a232XJQYuULESz3rksBkzAOtD-w6yCklxyXcARoNc6eY60vRpRe.jpg?r=581;2022;Mini-série;;16+;Lorsque la femme d'un millionnaire disparaît, la police doit faire face à la frénésie des médias et à des indics véreux pour découvrir la vérité. Inspiré de faits réels.;violence;0;;Yngvild Støen Grotmol,Henrik Rafaelsen,Christian Rubeck,Victoria Ose,Kidane Gjølme Dalva,Terje Strømdahl,Hermann Sabado,Glenn André Kaada,Roar Kjølv Jenssen,Kjersti Dalseide,Helene Bjørneby;;Séries dramatiques,Norvégien,Séries policières,Séries scandinaves,Séries inspirées de faits réels;Cérébral;80240691,81304572,81221302,80123729,81318520,81417796,81289581,81043833,81011098,81481477,81332635,80201500,81580045,81288983,81612863,80211703,81641220,81277858,81304948,81079046,81473355,81577050,81495803,80243728,81608340,81039388;True;1
81397077;Séries US|Tendances actuelles|Seulement sur Netflix|Séries d'action et d'aventure;FUBAR;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABS4zXQfUBQwlcoHx4KfAIF6rpVFQ5NK9oguehPh4LqxGOAXMSgAbJzQPZ1iTFfPoKrSwmRvt2aICZcR83tLJd7SVuJ_f_PbE7bhHhJloUpTJ9nQbIGFZ20fCxXXeEfjy49G5cdVJj-r3QVJIlL05Ea_8_IgCbNPtsACm3y2FuY_ss4c2NndHq06QS2lA14g.jpg?r=bf8;2023;8 Épisodes;;16+;Lorsqu'un père et sa fille découvrent qu'ils travaillent tous deux secrètement pour la CIA, une mission d'infiltration se transforme en histoire de famille compliquée.;violence;4;;Arnold Schwarzenegger,Monica Barbaro,Milan Carter,Gabriel Luna,Jay Baruchel,Fortune Feimster,Travis Van Winkle,Fabiana Udenio,Barbara Eve Harris,Aparna Brielle,Andy Buckley;;Séries comiques,Séries d'action et d'aventure,Séries US;;80133543,81444051,70056430,81580024,80207506,81165134,70120816,684660,81486213,81580045,81557402,60001393,70208104,81612863,80210920,81623351,81088495,80241318,80014749,81663276,81304948,80098202,70020509,81157207,80190534,81195027;True;4
81397558;Séries de SF et d'horreur;Sisyphus;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABYjHIlZ3f98mDgj9M53v3A70XE0Yp6V9tWIV_KzVYWA5fh5Kr70yMSbBtCQ9TdEHp_kWAh3sdJrYYEthudoeXFvf6KA4jDAH_Bn2nVR1K6J0t1CfhAclqBsb_ACg2csGRef0.jpg?r=5fa;2021;16 Épisodes;;13+;Un incident énigmatique révèle à un ingénieur de génie de dangereux secrets et le met en présence d'une femme du futur venue là justement pour le trouver.;;0;;Cho Seung-woo,Park Shin-hye,Kim Byong-chul,Sung Dong-il,Tae In-ho,Chae Jong-hyeop,Jeong He-in,Kim Jong-tae,Choi Jung-woo,Go Yoon,Heo Joon-seok,Jeon Kook-hwan,Tae Won-seok;;Coréen,Séries SF,Séries d'action et d'aventure,Thrillers TV;;;True;1
81399614;Films jeunesse et famille|SF et fantastique;Les Mitchell contre les machines;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABYcXJx5kYOl8nTbzXVXKjwTEJFAuDajk2SumStewPqvBrJSEZcKnQiitrG_LLNYT-9e-zxk4d2uyPYwEEtWBz7SiZuRm8hfdgQY_5B26bujD1SAoihfSGt8L1kq_f3TobM2q.jpg?r=4a0;2021;1 h 54 min;;7+;Leur road trip a été freiné par une apocalypse de robots. Le sort de l'humanité repose désormais sur eux : les Mitchell, la famille la plus excentrique du monde.;;0;Mike Rianda,Jeff Rowe;Danny McBride,Abbi Jacobson,Maya Rudolph,Mike Rianda,Eric André,Olivia Colman,Fred Armisen,Beck Bennett,John Legend,Chrissy Teigen,Blake Griffin,Conan O'Brien,Charlyne Yi;Mike Rianda,Jeff Rowe;Films pour la famille,Films jeunesse et famille,Comédies,Films d'animation;Décalé;81191856,80239482,80233925,70113007,80244429,81050106,81026605,80232279,81199052,81475311,81018682,81153694,80988892,80214236,81616116,81002813,70305922,80200487,80204447,60031264,80121840,81068804,80048061,81349324,81267965,70273612;True;3
81406219;Pépites pour vous|Drames|Films d'époque|Blockbusters;Enola Holmes 2;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABVpmbITfIyRyg4YajgtwNsI3TOYYfmEBmntdyhgt2C-FXmHA0gDHcGqQzWq6On1ElrIrjSNkGsoaiCEEKQBec5n2LeDfQu6XArT3eu7V4zqruSWMSs-jAt0SMtTtdG1JZ49B.jpg?r=be0;2022;2 h 10 min;;13+;Chargée, pour sa première affaire officielle, de percer le mystère d'une jeune disparue, la détective Enola doit solliciter l'aide de ses amis… et de son frère Sherlock.;;0;Harry Bradbeer;Millie Bobby Brown,Henry Cavill,David Thewlis,Louis Partridge,Helena Bonham Carter,Susan Wokoma,Adeel Akhtar,Sharon Duncan-Brewster;Harry Bradbeer,Jack Thorne;Films pour la famille,Drames pour la famille,Aventures en famille,Drames,Intrigues;Suspense;80994878,80169498,80189685,81037371,81410649,81349306,81324724,80176893,80234304,81043665,80232398,80136311,81476183,81005407,81472752,80241318,80179190,81332733,81059939,80220679,81140933,81222923,81210762,80050008,81414644;True;4
81408600;Films jeunesse et famille;Le Dernier Wagon;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeSvyoTEGFwHaQQxOXFsw7MYN015EPerrf6wfgWcZ2fli6OkYclN_R5OhSrMUMuEdNjZrmlRTXseSPP6vuJCC-Ev5N5gu0PbcYxC0iYITY-ZBUpRGK6u5S-vLquWum-Ar3iG.jpg?r=9f2;2023;1 h 35 min;;7+;Dans la campagne mexicaine, Georgina, institutrice, est déterminée à changer la vie des jeunes et brillants élèves à qui elle enseigne dans un wagon de train.;;0;Ernesto Contreras;Adriana Barraza,Kaarlo Isaacs,Memo Villegas,Diego Montessoro,Frida Cruz,Ikal Paredes,Teté Espinoza,Jeronimo Medina,Gabriela Cartol,Nova Coronel,Adrián Vázquez,Leonardo Alonso;Ángeles Doñate,Javier Peñalosa;Films pour la famille,Films jeunesse et famille,Mexicain,Drames pour la famille,Drames;Émotion;81298682,81435805,80111425,80241181,81261170,80207506,81410976,80176893,81580045,81557402,80196149,81476183,81397077,80994340,81612863,80210920,81623351,80241318,80179190,81304948,81577050,81581068,81495803,80197327,80190534,80212986;True;1
81410436;Documentaires;L'Art d'être riche;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZJkHoyYLctxqEECBzPuEyghDcV1fTOEWW2X_faQHFOxsXo4vE1FGdaJTaf_nJPoPYDHruO8Wvy6rtx62TnXP8VNbV20xZjhY3Yu3hgY-BmOPmTTyM7iuSnC4txHJ9C8L6N4.jpg?r=3b0;2023;8 Épisodes;;7+;L'argent nous contrôle, mais ce rapport de force peut être changé. L'expert Ramit Sethi aide des personnes à travers les États-Unis à assainir leurs finances.;;0;;Ramit Sethi;;Séries inspirées de livres,Séries documentaires,Séries US;Bonne humeur;;True;1
81410649;Drames|Films d'époque;Persuasion;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABX42INtNjHy3_EztAw60Oysurtv2vSm3vxYmauA3V335aVqUnnk5dTjYqwtFyQ7P4IT73SL5j4ftanRoCo066-tZL8iSgI9-9pRNOzVX-geUew-QxhF4Xa6ZdIcO0WV6Qpa1.jpg?r=41f;2022;1 h 49 min;;TOUS PUBLICS;L'homme séduisant qu'Anne Elliot a été forcée d'éconduire huit ans auparavant refait irruption dans sa vie. Saisira-t-elle cette seconde chance de vivre le grand amour ?;;0;Carrie Cracknell;Dakota Johnson,Cosmo Jarvis,Nikki Amuka-Bird,Mia McKenna-Bruce,Richard E. Grant,Henry Golding;Ron Bass,Alice Victoria Winslow;Comédies romantiques,Drames,Comédies,Films romantiques,Films inspirés de livres;Romantique;80131194,81388078,81132044,81002196,70213223,80207506,81476441,81580045,70285581,81043665,80232398,80136311,81476183,80070050,81663276,80179190,80211648,81241465,81577050,81354529,81140933,80197327,81222923,81414644,81041317,80212986;True;2
81414644;Séries policières|Séries dramatiques|Films d'époque;Lidia fait sa loi;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABfsBnufiU4IoU3B8_uA0k6GlI92sFT9GEKAzEp5Iyu2U8gk70wyFh8oiXEmKic1qfrHPexTWCiqklb5icELboJLb0S6DWZGE5ZtR4u25TiwXkeJsmZvN59ELsismwjsAWhU-.jpg?r=73e;2023;6 Épisodes;;13+;Dans ce drame historique captivant, Lidia Poët enquête sur des meurtres et lutte pour exercer le droit. Inspiré de l'histoire vraie de la première femme avocate d'Italie.;;0;;Matilda De Angelis,Eduardo Scarpetta,Pier Luigi Pasino,Sinead Thornhill,Dario Aita,Sara Lazzaro;;Séries dramatiques,Italien,Séries d'intrigue,Films d'époque,Séries policières;Suspense;80212986,81256747,70213223,81444812,81438166,81046216,80211991,81116060,80207506,81380205,81410649,80049281,81564749,70285581,80232398,80100929,81476183,80241318,81494917,81354529,81140933,81092269,81222923,80213020,80119411,80241181;True;3
81417684;Téléréalité;L'Agence : L'immobilier de luxe en famille;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTXch2YEn7GZsXS1YvGZOzl_OWSBEC-OKbnwnQg0Ute-2XGn9XcW1UTO3TcpHHXyqqipAU-7xtdbLIWLH-6MmjmS-ewDMZVyT80.webp?r=5d9;2023;3 Saisons;;10+;Cette série de téléréalité suit les aventures immobilières de la famille Kretz, qui aide ses clients à acheter et vendre de superbes maisons en France et à l'étranger.;;0;;Olivier Kretz,Sandrine Kretz,Valentin Kretz,Martin Kretz,Louis Kretz,Raphaël Kretz;;Français,Téléréalité,Téléréalité maison et jardin,Style de vie;Intimiste;81057855,80217627,80993568,81631016,81350804,81275686,81074133,81060530,80184067,81088239,81196690,81108694,81666490,80201870,81032737,81462121,81330745,80223108,81423793,81310218,81519226,81016914,81598495,81447330,81423622,81425251;False;2
