ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;nombre_occurrence;netflix_original
80027042;Films et séries jeunesse|Pépites pour vous|Les trouvailles du jour pour vous|Séries d'action et d'aventure|Ça devrait vous plaire|Séries de SF et d'horreur;Flash;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeC0e1N9ybrerS0gVOOum7VnrPICwsyhWCCbCKteJmeTQLG1YhYuyZQl3laTtLH1DtkgmTsZcfSwrEr731Vdsav-tPWySgsAZfw.webp?r=6d1;2021;7 Saisons;Recommandé à 96 %;13+;Dans cette comédie d'action de super-héros, un expert de la police sort du coma avec des facultés surhumaines et part en guerre contre tous ceux qui menacent sa ville.;;0;;Grant Gustin,Candice Patton,Danielle Panabaker,Carlos Valdes,Tom Cavanagh,Jesse L. Martin,Danielle Nicolet,Hartley Sawyer,Keiynan Lonsdale,Patrick Sabongui,Jessica Parker Kennedy,Victoria Park,Kayla Compton;;Séries SF,Séries d'action et d'aventure,Séries US,Séries inspirées de B.D.;Montée d'adrénaline;70208599,80029196,80244953,80187362,81004276,80133543,80091595,80164399,80066080,80237937,80157091,80218200,80117803,80216309,81397077,81171201,81161789,81004278,80166369,81073022,80014749,80065386,80178687,60004481,80186863,81002370;7;False
80027564;Pour se détendre;Sam & Cat;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABfFJy1Gr5kfX8NrlQ5Y3OgA-IADCdlJvKdcARNbRRLJ3Hc_tVsHsezh8NNIaDEWEzXPMsZRo7G2IZqmWHvqGFvcPCrj_fO2N8M0.webp?r=4b1;2014;36 Épisodes;Recommandé à 83 %;7+;Lorsque la vie les réunit, Sam et Cat deviennent colocs, lancent un service de baby-sitting et découvrent vite que leur nouveau travail n'est pas de tout repos.;;0;;Jennette McCurdy,Ariana Grande,Cameron Ocasio,Brandon Weaver,Zoran Korach,Dre Swain,Maree Cheatham,Eduardo Drummond,Alondra Hidalgo;;Pour enfants,Sitcoms,Séries comiques;;80103408,81068804,80234451,80020540,80201035,81011712,70033005,80057134,70281343,80174285,81616116,70172485,80244332,80231658,81186971,70180051,81005407,81475311,80042307,80238106,60020686,70002007,70294800,81186615,81443738,60034572;1;False
80029196;Films d'action et d'aventure|Pépites pour vous|Blockbusters|Mondes épiques;Jurassic World;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABRpRe8UcQC7qyiJJ5HeJeJf0WIArKtlQRcnhM3m_aufb5xD5SI5QTY0_4W87jIiAU-QNmQvkoPvwkkN1vDI3VraM85k8RjD0XhA.webp?r=5a8;2015;2 h 4 min;Recommandé à 68 %;13+;Les propriétaires d'un parc dédié aux dinosaures lancent une attraction palpitante pour attirer les touristes, mais une monstrueuse créature s'échappe et terrorise l'île.;;0;Colin Trevorrow;Chris Pratt,Bryce Dallas Howard,Vincent D'Onofrio,Ty Simpkins,Nick Robinson,Omar Sy,BD Wong,Irrfan Khan,Jake Johnson,Lauren Lapkus,Judy Greer;Rick Jaffa,Amanda Silver,Colin Trevorrow,Derek Connolly;Films SF,Films d'action;Montée d'adrénaline;80187362,81004276,80133543,20559714,80236314,60036256,80237937,80170280,70178621,80037476,80216309,70108779,81397077,81171201,70127226,81161789,81004278,70058026,81073022,81152992,80093133,81044417,80993105;4;False
80031790;Films d'époque;The Moon That Embraces The Sun;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABfHpfvv5fCOr0xnCF4gHrIn6BWtwTaaiM0Kcvity6In2_WLNb67UFgXUC9KygbMIyTk6qJtc0Fvf7aWOJYtoHx0AZbQmKFQSanE.webp?r=550;2012;20 Épisodes;;13+;Des années après sa disparition, une jeune femme noble, devenue chamane, retourne à la cour pour faire valoir son droit au trône.;;0;;Han Ga-in,Kim Soo-hyun,Jung Il-woo,Kim Min-seo,Kim Eung-soo,Yeo Jin-goo,Kim You-jung,Lee Tae-ri,Kim So-hyun;;Séries dramatiques romantiques,Séries dramatiques,Coréen,Films d'époque;Émotion,Romantique;81116487,81033645,80986896,81669775,81463556,81093222,81682438,81161487,81225069,81476183,81430282,81159258,81211303,80093324,81260283,81267722,81279108,80025266,81519223,80196931,81610893,81509440,80123798,81517188,81482476,81422314;1;False
80035684;Inspiré de crimes réels|Séries internationales|Les trouvailles du jour pour vous|Séries dramatiques;Pablo Escobar, le patron du mal;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbgUJ5i_9rD3ARfg9Hjtn8L3IYjSj2R1AkSUjJq47F5yodjU5GzdQJAaLgh4nTOMIHGO50umWxJfF4PgBJe8mR1HWDkzSry5IBs.webp?r=da5;2012;74 Épisodes;Recommandé à 90 %;13+;De ses premiers pas de petit délinquant à ses années à la tête d'un empire, cette série retrace la vie invraisemblable du baron de la drogue colombien Pablo Escobar.;;0;;Andrés Parra,Angie Cepeda,Cecilia Navia,Vicky Hernández,Christian Tappan,Rodolfo Silva,Tommy Vásquez,Toto Vega,Nicolás Montero,Marcela Gallego;;Séries dramatiques,Colombien,Séries inspirées de livres,Séries inspirées de faits réels;;80997085,81022683,70143836,80210920,81495803,81025403,70177057,80107369,81343748,81357618,81408600,60029681,80133042,70195800,70205672,81397077,60011152,81324724,80121192,328438,80057918,60026139,81261170,80025172,81317562,80002479;4;False
80037273;Films et séries en français;Un plan parfait;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTeRFW4RYERIP5Gypo6QoTBlSACro0eW6HO_3oX_8xYE8aYX1Ebdk9ql6hH7pPV8wzRFkaI4Z979rMdMae0eEfjh-RnHhuExzgw.webp?r=e6a;2012;1 h 44 min;;10+;Dans la famille d'Isabelle, les premiers mariages se terminent par un divorce. Sa solution ? Épouser un inconnu avant de pouvoir retourner vers l'homme qu'elle aime.;;0;Pascal Chaumeil;Diane Kruger,Dany Boon,Alice Pol,Jonathan Cohen,Robert Plagnol,Bernadette Le Saché,Laure Calamy,Étienne Chicot,Malonn Lévana,Olivier Claverie;Philippe Mechelen,Laurent Zeitoun,Yoann Gromb;Français,Comédies romantiques,Films comiques,Films romantiques;Romantique;70113669,81631507,81567127,81294142,81041317,81043729,70165474,81306350,80192947,81600435,81290742,80171705,80057784,80023849,81567123,81623190,80080217,70136041,81610299,81043735,81592338,81466149,81290755,81088495,81663277,70144327;1;False
80037278;Films et séries en français;Marseille;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABR6hFVspGOluQah9jroQc6LBXgjjU7wxWwFh6IiYFbBgDur9kKIFjC8sCbsHj-MTCuXpKsJP_xn3mT04JtSk2iNAc-WtZ2gIbepSDQUezv1GhsV9yl7W64p2TBs7HaRFF9x9.jpg?r=94f;2018;2 Saisons;Recommandé à 69 %;16+;Maire de Marseille depuis 25 ans, Robert Taro s'apprête à passer les rênes à son jeune protégé, déclenchant une véritable guerre des pouvoirs à la tête de la ville.;;0;;Gérard Depardieu,Benoît Magimel,Nadia Farès,Natacha Régnier,Géraldine Pailhas,Stéphane Caillard,Vladimir Consigny,Hippolyte Girardot,Guillaume Arnault,Carolina Jurczak,Eric Savin,Hedi Bouchenafa,Daniel Njo Lobé,Gérard Meylan;;Français,Séries politiques,Thrillers TV;;81093101,80133335,81481808,80235864,80240371,80210920,81495803,80178151,81312536,81051782,81115400,81175433,80241387,81476183,81576597,81135138,81397077,81279324,81019037,81005312,70170085,80131739,81288983,80017167,80026224,80240005;1;True
80037476;Films d'action et d'aventure|Pépites pour vous|Mondes épiques;Pixels;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABaHCd_rg3iZmNA2vasLnMNB24zIQ2jYF_StXAFUuWlcKRrRYcDPv9T4sqDbUSEufAir5E8X1zY_8QTdKaQkFXlhtixZH8D2CIwA.webp?r=59a;2015;1 h 46 min;;13+;Lorsque les extraterrestres attaquent la Terre comme dans les vieux jeux vidéo, le président et ses copains d'enfance, anciens passionnés d'arcade, entrent en action.;;0;Chris Columbus;Adam Sandler,Kevin James,Michelle Monaghan,Peter Dinklage,Josh Gad,Matt Lintz,Brian Cox,Sean Bean,Jane Krakowski,Dan Aykroyd,Affion Crockett;Timothy Dowling,Tim Herlihy;Films SF,Films comiques,Films d'action;;80029196,70087541,70125231,80133543,70041162,80063265,70097577,215309,80242619,80216309,60034587,70021637,70220030,70267242,80158583,81161789,81212842,81057361,60010110,81277430,60001650,80242342,60020686,80245104,80094318,81044417;3;False
80039394;Ça devrait vous plaire;Dragons : Par delà les rives;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABRMws9HpLfWwTuZBh0cfNcB7VzAlbFipT8vVUeYiNQPWp7wupoKkqRJ_jVwuVcRRaM6ZgAdN8NnxO2a57oOJc5zXQHmAc7zjyyKTJEoCncl6koNQsH15ksf7c2KEgI08_3HC.jpg?r=9c0;2018;6 Saisons;Recommandé à 95 %;7+;"Cette nouvelle série signée par les créateurs de ""Dragons"" suit Harold et Krokmou dans des aventures inédites aux confins du monde !";;0;;Jay Baruchel,America Ferrera,Christopher Mintz-Plasse,Andree Vermeulen,Zack Pearlman,T.J. Miller;;Pour enfants,Séries pour la famille à voir ensemble,Séries inspirées de livres,Dessins animés;;80071348,80218107,81010139,70142405,81009646,81046957,81370442,70047102,70220028,70243449,81153694,70267728,81475311,81018682,60020686,70002007,70216224,80075820,81055026,80048061,60034572,80233925,80212245;1;True
80044950;Séries de SF et d'horreur;The OA;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABRs6N-HN5LmzXya3ITUXhH7vVRfeDubagNxVy1XckXp6u2tyXLS9dtlJlzkvmUvKpl7GqRzCATebcdqg-9lNLvuOODULI4Nat5K1befMM94pOMCTD_KAUOdf8BLsOowvUWVW.jpg?r=6f6;2019;2 Parties;Recommandé à 72 %;16+;Sept ans après avoir disparu de chez elle, une jeune femme revient avec de mystérieux pouvoirs et recrute cinq inconnus pour une mission secrète.;violence, sexe, violence sexuelle;0;;Brit Marling,Jason Isaacs,Emory Cohen,Patrick Gibson,Kingsley Ben-Adir,Scott Wilson,Alice Krige,Phyllis Smith,Brendan Meyer,Brandon Perea,Ian Alexander,Will Brill,Paz Vega,Chloe Levine,Sharon Van Etten,Riz Ahmed;;Séries SF,Séries d'intrigue,Séries US,Thrillers TV;À énigmes,Intimiste;;1;False
