ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
70302482;Soirée filles;Borgen, une femme au pouvoir;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcI8cDOt17yCLdZEtweoABqkLCQT0L9O5bu9Ru6UJUCSzz9_brZ5QT8lT6Icd2oVNM03Kr9-cj5G0xY3W3H3h68GjiOWiFAvPr0.webp?r=e9a;2012;3 Saisons;Recommandé à 55 %;13+;Dans ce drame culte, des événements inattendus permettent à Birgitte Nyborg d'accéder au poste de Premier ministre du Danemark et de devenir la première femme au pouvoir.;;0;;Sidse Babett Knudsen,Birgitte Hjort Sørensen,Pilou Asbæk,Søren Malling,Freja Riemann,Emil Poulsen,Thomas Levin,Benedikte Hansen,Mikael Birkkjær,Anders Juul,Lisbeth Wulff,Kasper Lange,Lars Knutzon,Søren Spanning,Iben Dorner,Dar Salim,Jens Albinus,Christian Tafdrup,Alastair Mackenzie,Julie Agnete Vang,Kristian Halken,Ricard Lawrence,Marie Askehave,Rikke Lylloff,Mille Dinesen,Anne Sofie Espersen;;Séries politiques,Séries dramatiques,Danois,Séries scandinaves,Séries dramatiques sociales;Cérébral;80211136,81476183,80212986,70178217,81233755,81397077,81277858,81414644,81417796,81043833,81304948,81495803,81410976,80185171,80113647,80235864,81152788,81039388,81394937,81332635,81011098,81580045,80210920,80241318,81288983;False;1
70305883;Films d'époque;Marco Polo;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABVCW-qy4MqoM-HwsKlmy3DlK-wwnT4Echnwb95e5bEz_ewY7wfsFR7TGtOPOAF074tH8vyOwre8UNxSGj6flTG0BoivBQiooX8CcOoNfObrxNoQTOcsNl69u10Zad8UyU8Ky.jpg?r=e58;2016;2 Saisons;Recommandé à 59 %;16+;Cupidité, trahison, intrigues sexuelles et rivalités sont au cœur des aventures du héros de Marco Polo, le légendaire explorateur vénitien à la cour de Kubilai Khan.;;1;;Lorenzo Richelmy,Benedict Wong,Chin Han,Joan Chen,Michelle Yeoh,Rick Yune,Claudia Kim,Remy Hii,Zhu Zhu,Tom Wu,Mahesh Jadu,Olivia Cheng,Uli Latukefu,Pierfrancesco Favino,Jacqueline Chan,Leonard Wu,Gabriel Byrne;;Séries d'action et d'aventure,Films d'époque,Séries US;;80190859,80212986,80990771,81397077,80014727,81460361,81603987,80074249,81149450,80211648,80002479,60011663,80099656,80182016,81557402,80161728,70111323,81024039,80017529,80237990,80096545,70056440,80175352,80241318,80189685;True;1
80000770;Inspiré de crimes réels|Documentaires;Making a Murderer;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABazR43fytpOR9MMVvjLnRq-LhjQN7dz8A44qmT6n4HocRE7TWn-WfAFKILkvLIevixqjYwea8OC1r1BEGTo9K4aPo3OvdNdCor5Wck5tpCvBVgZ5HHDNMpedKzhd7PZH3K_F.jpg?r=21d;2018;2 Parties;;13+;Tourné sur plus de 13 ans, ce docu-thriller suit le périple judiciaire extraordinaire de deux hommes accusés d'un crime horrible qu'ils nient farouchement avoir commis.;;0;Laura Ricciardi,Moira Demos;;;Séries policières,Séries documentaires,Docus société et culture,Séries US,Documentaires inspirés de crimes réels;Enquête,Sombre;81380540,81512108,81031682,81231181,81396979,81555750,81288561,81026055,81405883,81436777,81519789,80217818,81264650,81130130,80161702,81298614,80158319,81173345,81212487,80194956,81300060,81580822,80233441,80202283,80226612,81227743;True;2
80002479;Séries incontournables|Films d'époque|Les trouvailles du jour pour vous|Seulement sur Netflix|Films d'époque internationaux;Peaky Blinders;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeqfT2_-pIeAnhkqj0GpudyhvXhx94AqyF9tkpneVdXu-3OATs6WlyyJJGhDCI9f8aYJJShAluJXN888F2NuB1cdlle-7Ky89bq8VkR-ilzL8yy5sT_4nUedoHC5jun8INFE.jpg?r=a07;2022;6 Saisons;Recommandé à 97 %;16+;À Birmingham, en Angleterre, l'année 1919 est marquée par les exactions de l'impitoyable Tommy Shelby, un jeune chef de la pègre ivre de son désir de domination.;violence, drogue;0;;Cillian Murphy,Sam Neill,Helen McCrory,Paul Anderson,Iddo Goldberg,Annabelle Wallis,Sophie Rundle,Tom Hardy,Joe Cole,Ned Dennehy,Andy Nyman,Charlie Creed-Miles,Charlotte Riley,David Dawson,Jeffrey Postlethwaite,Matthew Postlethwaite,Ian Peck,Tony Pitts,Aidan Gillen,Adrien Brody,Charlie Murphy,Aimee-Ffion Edwards,Anya Taylor-Joy,Sam Claflin,Finn Cole,Natasha O'Keeffe;;Séries dramatiques,Britannique,Films d'époque;Violent;60011152,80234304,81476183,60029681,80217669,81397077,81603987,81260280,80997085,80074249,328438,81149450,80175798,80021955,80235864,80114855,60011663,80025172,81092221,80117552,80057918,80017529,80994082,81557402,80241318,80189685;True;5
80008187;LGBTQ+ Stories;Please Like Me;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABf-4_5MK9gQin_bQFjjg275A6-CTnk3DtdqIY391alMNZpSvY-t5D-VNItwYii_Z87EC3kMa0DDsdZDPG48F0ZUNENmYImP47SQ.webp?r=ba1;2016;4 Saisons;;13+;Après avoir été largué par sa copine, Josh, la vingtaine, réalise qu'il est gay, rencontre un séduisant inconnu et emménage avec sa mère aux tendances suicidaires.;;0;;Josh Thomas,Thomas Ward,Debra Lawrance,David Roberts,Renee Lim,Caitlin Stasey,Keegan Joyce;;Australien,Séries comiques;Décalé,Doux-amer;81516751,80197526,80998491,80212986,81025696,81445999,80113701,81447461,81148358,81037371,81580024,80198991,80987458,80117540,70304246,80168189,80041601,80017537,80241545,81004814,80241248,81406669,81047751,80179190,80233611,80238565;False;1
80008434;Séries SF US|Séries d'action et d'aventure;Z Nation;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABYc3OqAG4zJTaoNNlT-A5TQkmmbvraTX2oVLSwzCKPNeagGWCiERrGxzOZzGTD_e0ZPUWxewmT9cqLWTbhf1HvolrhLPCXeX0bo.webp?r=980;2018;5 Saisons;Recommandé à 63 %;18+;Dans l'espoir de fabriquer un vaccin avec son sang, une équipe tente une mission périlleuse pour transporter le seul homme à avoir survécu à un virus zombie mortel.;violence;0;;Kellita Smith,Keith Allan,Russell Hodgkinson,Nat Zang,Anastasia Baranova,DJ Qualls,Pisay Pao,Gracie Gillam,Natalie Jongjaroenlarp,Tara Holt,Tom Everett Scott;;Séries SF,Séries comiques,Séries d'action et d'aventure,Séries US,Séries d'épouvante;Insolite;80154610,80180171,81237994,80208806,70060006,81240831,80236118,81046394,81003028,81186049,81061734,80996532,80198988,81198998,81021447,80197462,81195027,80119177,80057281,80213226,80161216,70123711,80177458,80121349,80135414,80241318;False;2
80010655;Thrillers primés (TV);Bloodline;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABRXuvZz87Qtg83AOjwPb_CE17PLKFJxFLVwJOoxOrvHUN6OnRp9PSGzkVtKN7ZhrIvlEM8VOuSsP1_pSkDd1AgBrm9uByda28JsGItW8stOPwezON_H81duuQxBaMI54Suze.jpg?r=8f0;2017;3 Saisons;Recommandé à 55 %;16+;La brebis galeuse d'une famille respectée menace de révéler de terribles secrets du passé, mettant ainsi les liens familiaux à rude épreuve.;violence, drogue;1;;Kyle Chandler,Ben Mendelsohn,Sissy Spacek,Linda Cardellini,Norbert Leo Butz,Jacinda Barrett,Jamie McShane,John Leguizamo,Enrique Murciano,Sam Shepard,Chloë Sevigny,Andrea Riseborough,Beau Bridges,Taylor Rouviere,Owen Teague,Brandon Larracuente;;Séries d'intrigue,Séries US,Thrillers TV;Sombre,Suspense;81396545,80212986,80211991,81233755,81332052,81397077,81045829,81603987,81417796,81304948,81495803,81303831,81157207,81450827,80021955,80210920,80241318,80113647,81015514,80114855,80117552,81481808,81557402,70178217,81288983,80200549;True;1
80017537;LGBTQ+ Stories|Séries incontournables|Soirée filles;Grace et Frankie;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTCp7rp-YMMymAk4p_VwjENV6mEYFZ8wHfkaiTq38rCCWHBd1KfBfCtsTaHMTvrijgGeigG2MjlGuKNioykC19Qv3skkfNdAHPWHqdN6qPh6d49TiXoZZHy_hJrqX3o_0vgW.jpg?r=0fc;2022;7 Saisons;Recommandé à 72 %;13+;Dans cette série nommée aux Emmys, l'élégante Grace et l'excentrique Frankie sont amenées à se rapprocher quand leurs maris respectifs les quittent pour vivre ensemble.;;0;;Jane Fonda,Lily Tomlin,Martin Sheen,Sam Waterston,June Diane Raphael,Brooklyn Decker,Ethan Embry,Baron Vaughn;;Sitcoms,Séries comiques,Séries US;Décalé;81324724,80201680,81476183,80212986,81025696,80025678,81281864,80223040,80239866,81397077,80113701,80240027,81037371,80104068,80198991,80994340,81045831,80109415,81500842,80177342,80219707,80232398,81580045,81406669,80241318,81288983;True;4
80019503;Animation pour adultes;BoJack Horseman Christmas Special: Sabrina's Christmas Wish;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABVWmbfZJ5nICQPLzhBllgRjLdSEd30vWGGye3yFVZR5WBAv-Z13muO-nzR428LrZxwLjXtRTUumKypT9AP2AI8FkyP7BESNIgsGZ5cbKNxWi2JAoRnAyb3CS7WSPf2HojeqU.jpg?r=a30;2014;25 min;;13+;"C'est Noël, et BoJack ne veut pas en entendre parler. Jusqu'à ce que Todd se ramène avec un sucre d'orge géant et un vieil épisode de ""Galipettes en famille"".";;0;;Will Arnett,Aaron Paul,Alison Brie,Adam Conover,Kristen Schaal,Fred Savage;Raphael Bob-Waksberg;Sitcoms,Séries comiques,Séries US;;70242311,81092963,80028732,80095697,81245457,81067223,80113701,81259476,80198137,81080959,81053303,80198991,80175722,80235932,80177342,80987903,81304528,81214194,81228573,80995819,80117038,80191522,81008138,80179190,70140358;True;1
80021955;Séries à regarder sans modération|Séries incontournables|Séries dramatiques US|Les trouvailles du jour pour vous;Better Call Saul;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABa8PygEsMSO_IAE0fl_qYKpUTQvkKgelHgcMFuQGVilhVljMbAepIEczUnHfCsFZDCATswBXF5y804nrsxuYC6bk1GHfdcRgGM66zWDin-OefMwNqmCiUGeCegVB-SVfziTU.jpg?r=696;2022;6 Saisons;Recommandé à 92 %;16+;"Ce spin-off de ""Breaking Bad"" nommé aux Emmys suit la vie de Jimmy McGill avant qu'il ne prenne le pseudonyme de Saul Goodman et devienne l'avocat véreux de Walter White.";violence, drogue, suicide;0;;Bob Odenkirk,Jonathan Banks,Rhea Seehorn,Michael McKean,Patrick Fabian,Giancarlo Esposito,Michael Mando,Tony Dalton,Kerry Condon,Brandon K. Hampton,Mark Margolis,Jeremiah Bitsui,Rainer Bock,Robert Forster;;Séries dramatiques,Séries US;Insolite;60011152,80101899,60029681,70178217,80211991,81397077,81447461,81603987,80997085,81260280,80175798,81303831,70189289,80002479,80994340,81157207,80113647,80114855,60011663,80025172,80117552,70264888,18907685,80241318,81288983;True;4
