categorie;titres;ID;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations
Séries surnaturelles;The Midnight Club;81112336;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcXxhQqHC_g6bOPFOy3_pZQZ5f-RkGlJ5fmElwuYmwvcVEB-2Qobv9YL0e9Be-No1oUKbI0UwIl4at0Wa_ELcTqU7KsdAZpH9DAeLis574Za7OyUxPkMsNGsl2gy9fzCIS9_.jpg?r=96c;2022;10 Épisodes;;16+;Au sein d'un hospice pour adolescents en fin de vie, les membres d'un club exclusif concluent un pacte glaçant : le premier qui meurt doit envoyer un signe de l'au-delà.;violence, drogue, suicide, automutilation;False;;Iman Benson,Igby Rigney,Ruth Codd,Heather Langenkamp,Annarah Cymone,Chris Sumpter,Adia,Aya Furukawa,Sauriyan Sapkota,Matt Biedel,Samantha Sloyan,Zach Gilford;;Séries inspirées de livres,Séries pour ados,Séries d'intrigue,Séries US,Séries d'épouvante;Sombre,Intimiste,Suspense;81083626,80189221,81288353,81237854,80209229,80221644,81116060,80233020,81217751,80992607,81213653,81258637,80222802,80106763,81150303,81183718,81483306,80241239,80223989,81495803,80233374,80213445,81397887,81459931,70099609,80241581
Séries surnaturelles;First Kill;81213653;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABf5oj_hychDHr4nE5rLRvEiffdv4qzMJqObAJD6zzP-zOAjjpUj5m_TrLPFduaWI9Hv2HBs5AWzWbIdKEn8Dhzsw-hp0F7TgTF2o_OL3m1Yc4_8RV1jUkvPfDPPRfS_1vIgR.jpg?r=f63;2022;8 Épisodes;;16+;Pour les ados Juliette et Calliope, tomber amoureuses est compliqué. L'une est une vampire, l'autre les chasse… et toutes deux sont prêtes à tuer pour la première fois.;violence;False;;Sarah Catherine Hook,Imani Lewis,Elizabeth Mitchell,Aubin Wise,Gracie Dzienny,Dominic Goodman,Phillip Mullings Jr.,Jason R. Moore;;Séries inspirées de livres,Séries pour ados,Séries US,Séries fantastiques;Suspense,Romantique;80222720,81043660,81258637,80220679,81213803,80221644,80084447,80223989,80238357,81324724,80218885,81337079,81397077,80236319,80241545,80210920,81476183,80242724,81495803,81026095,80057918,80133543,80133311,80241239,81150303,81116060
Séries surnaturelles;Shahmeran;81354934;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABXcEQD4i0kDF1AGGzAHySfFb_Uog0XM0QW7TStO0DaZPY2msZB3Js9Clk8v9ZoT8SKliSET07avcdVR88jxHL4nuTzkY7K7ARByQF3SCVnG-sd4hOu_KEDSKhO8x704EIr8-.jpg?r=0d0;2023;8 Épisodes;;13+;Sahsu profite d'une conférence à Adana pour rencontrer le grand-père qu'elle n'a jamais connu. Elle se retrouve alors au beau milieu d'une légende.;;False;Umur Turagay;Serenay Sarıkaya,Burak Deniz,Mustafa Uğurlu,Mahir Günşiray,Ebru Özkan,Mert Ramazan Demir,Hakan Karahan,Elif Nur Kerkük,Mehmet Bilge Aslan,Berfu Halisdemir,Nilay Erdönmez,Nil Sude Albayrak,Ayşe Lebriz Berkem,Ece Ertez,Beran Soysal,Almina Günaydın,Mert Doğan;;Turc,Séries fantastiques;Suspense,Romantique;81564749,81465109,81166149,81380432,81334950,81116060,80189829,81026095,81608348,81590491,81037848,81303889,81346325,81212136,81346063,81080697,81334952,81103322,81149450,80244780,80113612,81462319,81610274,81350683,81140933,80213020
Séries surnaturelles;Dead End : Le parc du paranormal;80994692;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeDdPyt3g-_wCDx95EmmCSFDCQz0IkWu8vEQVbai_XRVVbKRs1WmSQLGWe4z5id1btfzXk-bGQ1EEGfxCa7BVM7eQ-hvChFS08oKBf4jKD49djHOCX5Y6Hm2NiPxPKsYff8M.jpg?r=aef;2022;2 Saisons;;7+;Deux ados et un chien qui parle unissent leurs forces pour vaincre les démons qui hantent un parc d'attractions et sauver le monde d'un possible cataclysme surnaturel.;;False;;Zach Barack,Kody Kavitha,Emily Osment,Alex Brightman,Clinton Leupp;;Pour enfants,Séries comiques,Dessins animés;Décalé;80992673,80115346,80221553,81045859,80147919,80221337,80219119,80179762,81004016,80242531,81076952,80175934,70252898,80103408,81150180,81186971,80210294,81145135,81628818,81475311,81093076,80198459,81483908,80167821,81313783,60020686
Séries surnaturelles;The Imperfects;81252707;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABew5nkckKVYc2oiJ-U1geztHqFnLyzzFh3YiGoazekfEyXK1e6piQaV7IMshwfb_ho5moyzymhT_Trt2wh23M4Rki4KeOF7n45yzXZtJgd2DioYil4gC6kETQ80t2PylAejm.jpg?r=4da;2022;10 Épisodes;;16+;Après avoir subi une expérience ayant produit de monstrueux effets indésirables, Abbi, Tilda et Juan font alliance pour retrouver le chercheur responsable… et un remède.;violence, suicide;False;;Italia Ricci,Morgan Taylor Campbell,Rhianna Jagpal,Iñaki Godoy,Rhys Nicholson,Kyra Zagorsky,Celina Martin,Jedidiah Goodacre;;Canadien,Séries SF,Séries d'action et d'aventure;;80244953,81258637,80236118,80186863,80236236,80154610,80218200,80996532,80242724,80133543,81397077,80097140,81195027,80011206,80221644,80084447,80171099,80174608,70283264,81279312,81194641,81186049,80189685,80197462,81023636,80170280
Séries surnaturelles;Alma;80241472;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABQ8QvzyQWVZbJA_un4ZkiV0AF7oF26rxahmgMNF0hSW8qAh_T2NRgXI0NGpAT80eR9v7pG8bIXZ5K934Z0yXCJJrmmAmap_FXWaVetKSy4REveB_ksXyH9wJSNkg30LzJjAP.jpg?r=873;2022;9 Épisodes;;16+;Après avoir perdu la mémoire dans un étrange accident où presque tous ses camarades ont péri, Alma tente de comprendre ce qui s'est passé et de retrouver son identité.;violence sexuelle, suicide;False;;Mireia Oriol,Álex Villazán,Pol Monen,Javier Morgade,Nil Cardoner,María Caballero,Claudia Roset,Milena Smit,Marta Belaustegui,Josean Bengoetxea,Kandido Uranga,Nacho Fresneda,Alejandro Serrano,Elena Irureta,Katia Borlado;;Espagnol,Séries pour ados,Séries d'épouvante;À énigmes,Suspense;81037850,81213803,81045829,81059720,81495803,80241539,81213653,81150303,81483306,81046216,81397077,81324724,81216677,81557402,80106763,81183718,80236319,81116060,81258637,80124506,81476183,81211710,80209229,80220679,80222802,81112336
Séries surnaturelles;Kings of Jo'Burg;81219804;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABecz4q5Ig4GJ4MoVCbyWYEY9X32w0mWuHSjBdtZwjlMA6Bdr8D2G87jwuEShNwNYLjFsAkPTewcevS2eCx2-4X76bjJbHxOViO3qBrH4tjmZ1BDeg8_RRKJqHMe-i9gAXKOF.jpg?r=472;2023;2 Saisons;;16+;Les frères Masire règnent sur la pègre de Johannesburg, mais une malédiction familiale et un écheveau de trahison menacent de les détruire.;violence;False;;Zolisa Xaluva,Connie Ferguson,Cindy Mahlangu,Buhle Samuels,Thembi Seete,Thapelo Mokoena,Shona Ferguson,Tsholofelo Matshaba,Sello Sebotsane,TK Sebothoma,Lunathi Mampofu,Abdul Khoza;;Sud-africain,Thrillers TV,Séries fantastiques;Suspense;81035137,81282561,81488776,81630495,81044547,81287440,81175433,81354934,70140919,81116060,81151771,81388035,81294417,81279324,81553435,81317562,80113612,80217669,70281312,81450827,80133543,81597494,80107369,80176893,80205626,81576814
Séries surnaturelles;Parasite : la maxime;80191008;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABW0mbc9elJbVpHSGyd8x0XJAtNGJK1AuB-I5E4jOpFbPp-7q2503e9SPTnk97kgBXHvUm9mAzK9_6yGHeyvhIXP5YnPa73WzDK4.webp?r=e47;2014;24 Épisodes;Recommandé à 78 %;16+;Un adolescent combat une invasion de parasites venus de l'espace avec l'aide de Migi, une créature elle-même parasite qui a colonisé sa main droite.;violence;False;;Nobunaga Shimazaki,Aya Hirano,Kana Hanazawa,Kiyono Yasuno,Rena Maeda,Miyuki Sawashiro,Hiroyuki Yoshino,Atsuko Tanaka;;Anime SF et fantastique,Japonais,Séries d'animation japonaise,Anime d'horreur,Séries d'épouvante;Effrayant;80023687,81177634,80243876,70299043,80179831,80045948,81091393,81295011,70300472,81409869,81054853,81249833,80175351,80204451,81195027,80000603,81499847,81261669,81281579,80014749,70266998,80200989,81318842,81043571,80995578,80095241
Séries surnaturelles;Seraph of the End;80200989;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbBd2bJ0ZSVS0ne2IhdNGD_ikrXX7hTXy2em6zkZE8TQqU09CEktjQD0CaaVIs1hMMkN07LL19hQkFRY4qvmM_qqirfh3atEqaE.webp?r=83b;2015;2 Saisons;Recommandé à 73 %;16+;À la suite d'une épidémie mortelle, les quelques enfants ayant survécu sont sous le joug de vampires qui veulent conquérir le monde. Mais un groupe est décidé à résister.;drogue;False;;Miyu Irino,Kensho Ono,Yuichi Nakamura,Takahiro Sakurai,Saori Hayami,Nobuhiko Okamoto,Kaito Ishikawa,Yuka Iguchi,Aoi Yuki,Tomoaki Maeno,Tatsuhisa Suzuki,Kenichi Suzumura,Aya Endo,Yoshimasa Hosoya;;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;Sombre;80080317,80997339,80052669,80175350,80192979,80023687,81261630,81281582,81043571,81091393,80050063,81318888,80996247,81249833,70266998,80182163,80175351,81177634,70300472,80097594,80180849,80011358,70299043,80095241,81499847,81364944
Séries surnaturelles;Yu Yu Hakusho;81005375;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABaIuIizWl-vc7NAoztv9Ck-e3c83HZ1grJaJxOStGKJUbOtlupkf64q9p2rPO7KMjrc7A_cVfWkQAkRwspKnZdnRlWesvEFvTSU.webp?r=14a;1995;4 Saisons;;13+;Mort en sauvant un enfant, le jeune voyou Yusuke Urameshi se voit accorder une autre chance, et revient sur Terre pour se racheter comme détective du monde des esprits.;;False;;Nozomu Sasaki,Shigeru Chiba,Megumi Ogata,Nobuyuki Hiyama,Mayumi Tanaka,Sanae Miyuki,Yuri Amano,Hisako Kyoda,Megumi Hayashibara,Ai Orikasa;;Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;;70300472,80995578,81239555,80179831,70202899,81091393,70204980,80023687,81249833,70266998,81186862,80204451,80000603,70273371,80243876,81281579,80090370,70299043,81409869,81499847,80117781,80001305,80191008,70177034,81033445,80231373
Séries surnaturelles;Maniac par Junji Ito : Anthologie macabre;81295011;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABb3zAmk8Pfu5nj-O2ewxYI_019SIiS7H9GWfn0PSOjXutB1tMc7oXYj8einqZmE3zsSeaGGmtu2lQKs8MEbSodrWT4kKWlPcmSguV0aIGYpiUZNJh5k_gk-lK493jfbA2rJR.jpg?r=06a;2023;12 Épisodes;;16+;Un florilège des récits les plus étranges, les plus dérangeants et les plus terrifiants sortis tout droit de l'esprit du génie du manga d'horreur Junji Ito.;violence, automutilation;False;;Riho Sugiyama,Daisuke Kishio,Rie Suegara,Yumiri Hanamori,Yuji Mitsuya,Hiro Shimono,Ryotaro Okiayu,Sara Matsumoto,Takatsugu Chikamatsu,Ryohei Kimura,M・A・O,Aya Uchida,Yuki Kaji,Tomoe Hanba,Fumiko Orikasa,Takashi Kondo,Yoshimasa Hosoya;;Japonais,Séries d'animation japonaise,Anime d'horreur,Séries d'épouvante,Séries inspirées de mangas;;81409869,81261669,80209229,81177634,80191008,81281579,81091393,80174608,81318888,81486809,81043571,80023687,81249833,80995578,70299043,80241072,80175351,80236253,60023642,81054853,80095241,80243876,80179831,80174974,70300472,81228573
Séries surnaturelles;Fullmetal Alchemist;70204980;https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTNmXWTXedjlttJDC3IOp-bjXu_jTRI2RGbyhOlxAvxTlLo1RCunhDIwvtRvd6yLMGB0dI9HtB6dORQ5tYpcJ4KqDBos_odzw8A.webp?r=5d3;2003;51 Épisodes;;16+;En tentant de redonner vie à leur mère par alchimie, deux frères produisent une réaction chimique aux effets dévastateurs sur leurs corps.;;False;;Romi Park,Rie Kugimiya,Megumi Toyoguchi,Miyoko Aso,Toru Okawa,Michiko Neya,Kenji Utsumi,Hidekatsu Shibata,Ryotaro Okiayu,Yuko Sato,Yasuhiro Takato,Keiji Fujiwara,Yasunori Matsumoto,Tomoyuki Shimura,Tetsu Shiratori,Takehiro Murozono,Makoto Nagai,Mayumi Yamaguchi,Kotono Mitsuishi,Satomi Koorogi;;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;;70300472,81091393,81249833,70266998,80050063,70299043,80023687,80045948,81054853,80000603,81281579,81409869,80001305,80179831,80200989,80191008,80052669,80243876,81033445,70205012,70308852,80095241,81435684
