ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
70140438;Séries internationales|Séries;Skins;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWga9lTeokw-Q01JHMPKvVL-kEJrgufirnhKoW8KwwoyhCpObc3wML8RfKLBYcyD_A5SSK8lG_rUSDu2xihw25QEsDI7bW98l9M.webp?r=9b8;2013;7 Saisons;Recommandé à 79 %;16+;Cette série réaliste suit le quotidien d'un groupe de jeunes paumés et attachants, leurs amitiés et leurs tourments, dans leurs deux dernières années au lycée.;sexe;0;;Kaya Scodelario,Hannah Murray,Jack O'Connell,Kathryn Prescott,Lily Loveless,Nicholas Hoult,Joe Dempsie,Mike Bailey,April Pearson,Will Merrick,Freya Mavor,Laya Lewis,Ollie Barbieri,Dakota Blue Richards,Sean Teale,Larissa Wilson,Dev Patel,Mitch Hewer,Luke Pasqualino,Giles Thomas;;Séries dramatiques,Britannique,Séries pour ados;Insolite;70143836,80117551,70118769,81140933,80169498,81349306,80197989,60024922,81307103,80100054,70155618,80176893,80211686,80201590,80171659;False;2
70142382;Téléréalité|Séries nostalgie;Laguna Beach: The Real Orange County;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcWKutqFv4ZoBsXPY5vdZ8yWVIXgZTIDWFSfYI1NA_p3NvabiAaNyU67Myqu3l9_56Atg5fwx-RyczZ_UMsiq7D2xduFbCzdHWE.webp?r=815;2005;2 Saisons;;10+;Dans la ville opulente de Laguna Beach, en Californie, une bande de lycéens jongle entre histoires de cœur, pression sociale et décisions cruciales pour l'avenir.;;0;;Lauren Conrad,Kristin Cavallari,Tessa Keller,Stephen Colletti,Talan Torriero,Taylor Cole,Alex Murrel,Lauren Bosworth,Jessica Smith;;Séries pour ados,Téléréalité,Séries US;Romantique;70234677,81307101,81447330,80993568,81441828,81019909,81109061,70153388,70217931,81228402,81341222,81512574,81425251,81417684,81175724,80185178,70142384,81456532;False;2
70142384;Téléréalité pour se distraire|Téléréalité|Séries nostalgie;The Hills;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABfRE4k5xtsfA6oKJ0wzFCHD8KeIZuNPjPeRRt00u7Fb65GIWSCj1U1kJB5daA3tv8i1YMtC_tV1sqs4e9ufSvF4q2r3cuVdQ0tc.webp?r=28c;2007;2 Saisons;;7+;"Ce spin-off de l'émission ""Laguna Beach"" suit les péripéties professionnelles et amoureuses d'un groupe de jeunes femmes menant la grande vie à Los Angeles.";;0;;Audrina Patridge,Heidi Montag,Lauren Conrad,Whitney Port,Kristin Cavallari,Stephanie Pratt,Spencer Pratt,Lauren Bosworth,Justin Brescia;;Séries pour ados,Téléréalité,Séries US,Style de vie;;81108694,81312532,70142382,81441828,81019909,81228402,70153388,70217931,81109061,81341222,81512574,81425251,81417684,81383117,70234677,81456532;False;3
70142405;Pour enfants|Séries nostalgie|Séries jeunesse et famille|Les trouvailles du jour pour vous|Séries primées;Avatar : Le dernier maître de l’air;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbq574w92k9u_GXrmLE-CBIxCSC9VE4yEI87xWFsYfqXZnzxamF1ATfygfEUbG0QgNpX-P1Kwq8u37yxhiDl7J1rZb4xd1nRg3U.webp?r=1c1;2007;3 Saisons;Recommandé à 94 %;10+;Katara et son frère Sokka sortent le jeune Aang d'une longue hibernation et découvrent qu'il est un Avatar maître de l'air capable de vaincre la terrible nation du feu.;;0;;Zach Tyler,Mae Whitman,Jack De Sena,Dee Bradley Baker,Dante Basco,Jessie Flower,Mako Iwamatsu;;Pour enfants,Séries pour la famille à voir ensemble,Dessins animés,Séries fantastiques;;81346307,80147919,80075820,70177034,80225085,81628818,80007757,80075595,70028883,81616116,80003196,81026767,80103408,60020686,60031264,70297439,80179762,60023642,80071348,81026605,81475311,81193140,80244283,70298991,70252973,80039394,80167821;False;6
70142413;Séries nostalgie;Chappelle's Show;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWN-HYn3rNbwN9DlLACnRCJPnKhpdWiOc-UPn0MMs3TJ58YdkIricxLV7PhFS2OJbKzN8Dl_F9h0IZyQ_W6ZHo-x_D9jh_RRLzE.webp?r=eb7;2004;2 Saisons;;16+;Dave Chappelle s'attaque au racisme, à la politique et à bien d'autres sujets dans cette série de sketchs aux parodies absurdes et aux personnages hauts en couleur.;;1;;Dave Chappelle;;Séries comiques,Séries US;;70153373,81060174,80106743,81619082,70218756,80174687,907090,80133549,80225917,70136120,81497886,81228515,80167499,80014749,81078615,81457341,81045453,80216224,70171942,70155589,70111504,80189653,70281562;False;1
70143440;Séries nostalgie;Trailer Park Boys: Xmas Special;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeseGJaMrqJJNRvCmUHdO66IpStCKWkyUrcez7cJoctxkOadpgfPsmQSbFnTkHgByyxEZvvK8XomcX0A4anKjQZuNMjdVcTAT-8.webp?r=1b6;2004;46 min;;13+;Retrouvez la bande du Trailer Park à l'époque où Randy faisait le trottoir, J-Roc ne se prenait pas pour un rappeur et Barbara et Jim Lahey étaient encore mariés.;;0;Mike Clattenburg;John Paul Tremblay,Robb Wells,John Dunsworth,Patrick Roach,Lucy Decoutere,Sarah Dunsworth,Cory Bowles,Barrie Dunn,Michael Jackson,Shelley Thompson;;Canadien,Films comiques,Séries comiques;;70167070,70153373,70113002,81034553,81404276,70208247,70171942,70220030,80178974,70155589,80199682,70136120,81067223,81510180,70281562,80014749;False;1
70143830;Séries incontournables|Séries comiques|Séries avec distribution d'ensemble|Séries saluées par la critique|Séries US doublées en français|Les trouvailles du jour pour vous|Séries primées;The Big Bang Theory;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZYl6Ia5mY2XM0TWtoijjZdr5OeRcf4eAzJh6-NHmxjBNejUf28riHErBUF1b9oxdco9xQIHtgmqObz_G_RK5W_I9F_hQqkTaXE.webp?r=bc4;2018;12 Saisons;Recommandé à 93 %;13+;Deux jeunes physiciens et leurs amis geeks voient leur cercle social s'agrandir lorsqu'une actrice en herbe emménage dans l'appartement à côté du leur.;;0;;Johnny Galecki,Jim Parsons,Kaley Cuoco,Simon Helberg,Kunal Nayyar,Mayim Bialik,Melissa Rauch;;Sitcoms,Séries comiques,Séries US;Décalé;70153373,81435370,81030627,80209013,81468289,80158515,70195800,81275653,81327503,81288370,81165134,70136120,80095532,70077514,81047664,70155618,80014749,70153404,70270408,70172485,81186971,80174285,70155589,70281562,81270678,81021929;False;10
70143836;Séries incontournables|Séries|Séries saluées par la critique|Séries US doublées en français|Thrillers et intrigues TV|Les trouvailles du jour pour vous|Séries primées;Breaking Bad;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZi_RqpT84KU9PuLqluo8QNslnXT8Hu2_bME3ez2GFxUqc-CdICtULofUMFIpTV_EO1tghUWNSLzXeqhWzYDdSL2ifiUB0eKrn8.webp?r=01d;2013;5 Saisons;Recommandé à 98 %;16+;Un professeur de chimie atteint d'un cancer s'associe à un ancien élève pour fabriquer et vendre de la méthamphétamine afin d'assurer l'avenir financier de sa famille.;violence, drogue;0;;Bryan Cranston,Aaron Paul,Anna Gunn,Dean Norris,Betsy Brandt,RJ Mitte,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito;;Séries US,Thrillers TV;Violent,Sombre,Suspense;80185171,70281312,70236561,80115328;False;7
70153373;Séries avec distribution d'ensemble|Séries US doublées en français|Séries saluées par la critique|Séries nostalgie;Seinfeld;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbhaGD2PsnpUvPwPkHqnTQwN8PXbB2A2CPF8PHOHjMCVJ7buJZS37oG1yq6msufwwqAaIxVzf40ZKKB8KxuwtjkVLckawcT0_VM.webp?r=b8a;1997;9 Saisons;Recommandé à 64 %;13+;Jerry Seinfeld et ses trois amis à l'humour sardonique nous font rire des situations du quotidien en puisant parmi des anecdotes des plus triviales ou exceptionnelles.;;0;;Jerry Seinfeld,Julia Louis-Dreyfus,Jason Alexander,Michael Richards,Wayne Knight,Heidi Swedberg,Estelle Harris,Jerry Stiller;;Sitcoms,Séries comiques,Séries US;;81516751,80209013,81619082,81468289,70195800,81327503,70143830,81288370,70136120,80095532,80027158,80025384,81500842,81047664,70155618,80014749,70153404,70270408,70113002,70171942,384406,70155589,70281562,81270678,81021929;False;4
70153388;Téléréalité pour se distraire|Téléréalité;L'Incroyable Famille Kardashian;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABVKckQ6SkKZXxbKpy6JlTopP4kCifTxskmF-m107cXyimLklMqvzfN2fQtS_-rN1KWXVCZFpq2uZyWshE8CWT524XFhUoOZDKxU.webp?r=40f;2017;3 Saisons;Recommandé à 61 %;13+;Dans cette téléréalité, les Kardashian s'efforcent de protéger leur famille tout en gérant leur notoriété, leur empire grandissant et leurs relations avec des célébrités.;;0;;Kim Kardashian West,Khloé Kardashian,Kourtney Kardashian,Kris Jenner,Caitlyn Jenner,Kendall Jenner,Kylie Jenner,Robert Kardashian Jr.;;Téléréalité,Séries US;Décalé;81312532,81038987,81228402,81109061,70217931,81341222,81512574,81417684,81666400,81175724,81666490,70142384,81456532;False;4
